index,time_s,ch1_raw
11905,23.807619238076192,1129
11906,23.80961903809619,1140
11907,23.81161883811619,1159
11908,23.813618638136187,1171
11909,23.815618438156182,1170
11910,23.81761823817618,1164
11911,23.81961803819618,1163
11912,23.821617838216177,1164
11913,23.823617638236176,1161
11914,23.825617438256174,1155
11915,23.827617238276172,1147
11916,23.82961703829617,1135
11917,23.83161683831617,1122
11918,23.833616638336167,1119
11919,23.835616438356166,1127
11920,23.83761623837616,1139
11921,23.83961603839616,1148
11922,23.841615838416157,1154
11923,23.843615638436155,1157
11924,23.845615438456154,1157
11925,23.847615238476152,1160
11926,23.84961503849615,1166
11927,23.85161483851615,1172
11928,23.853614638536147,1173
11929,23.855614438556145,1169
11930,23.857614238576144,1162
11931,23.85961403859614,1156
11932,23.861613838616137,1154
11933,23.863613638636135,1150
11934,23.865613438656133,1142
11935,23.86761323867613,1133
11936,23.86961303869613,1134
11937,23.87161283871613,1143
11938,23.873612638736127,1148
11939,23.875612438756125,1141
11940,23.877612238776123,1131
11941,23.879612038796118,1130
11942,23.881611838816116,1146
11943,23.883611638836115,1168
11944,23.885611438856113,1173
11945,23.88761123887611,1156
11946,23.88961103889611,1138
11947,23.891610838916108,1138
11948,23.893610638936106,1153
11949,23.895610438956105,1169
11950,23.897610238976103,1174
11951,23.8996100389961,1165
11952,23.901609839016096,1144
11953,23.903609639036095,1126
11954,23.905609439056093,1130
11955,23.90760923907609,1150
11956,23.90960903909609,1166
11957,23.911608839116088,1166
11958,23.913608639136086,1162
11959,23.915608439156085,1163
11960,23.917608239176083,1162
11961,23.91960803919608,1160
11962,23.92160783921608,1163
11963,23.923607639236074,1172
11964,23.925607439256073,1181
11965,23.92760723927607,1186
11966,23.92960703929607,1187
11967,23.931606839316068,1184
11968,23.933606639336066,1178
11969,23.935606439356064,1175
11970,23.937606239376063,1173
11971,23.93960603939606,1170
11972,23.94160583941606,1165
11973,23.943605639436054,1159
11974,23.945605439456052,1149
11975,23.94760523947605,1143
11976,23.94960503949605,1149
11977,23.951604839516047,1160
11978,23.953604639536046,1156
11979,23.955604439556044,1135
11980,23.957604239576042,1119
11981,23.95960403959604,1126
11982,23.96160383961604,1147
11983,23.963603639636037,1158
11984,23.965603439656032,1151
11985,23.96760323967603,1135
11986,23.96960303969603,1125
11987,23.971602839716027,1129
11988,23.973602639736026,1146
11989,23.975602439756024,1161
11990,23.977602239776022,1158
11991,23.97960203979602,1142
11992,23.98160183981602,1129
11993,23.983601639836017,1131
11994,23.985601439856016,1146
11995,23.98760123987601,1159
